> Air Mass 1.5 spectrum "Direct + Circumsolar" (DCS) "edition 2", normalised to 1 sun (1000 W/m2)
> Direct = Direct Normal Irradiance Nearly parallel (0.5 deg divergent cone) radiation 
> on surface with surface normal tracking (pointing to) the sun, 
> excluding scattered sky and reflected ground radiation
> Circumsolar = Spectral irradiance within +/- 2.5 degree (5 degree diameter) field of view 
> centered on the 0.5 deg diameter solar disk, but excluding the radiation from the disk  
> Source: "ASTM G173-03 Reference Spectra 
Derived from SMARTS v. 2.9.2 (AM1.5)"							
> (NREL website, april 2009)
> Adaption to SCAPS format: MB 17-5-2009
> The first column is wavelength in nm
> The value in the second column is the incident power, in W/m2, in a wavelength range from half-away the preceeding lambda-interval, to half-away the next lambda-interval
> (we have artificially added one line before the table: 279 nm, 0 W/m2/nm
>   and one line after the table: 4010 nm, 0 W/m2/nm)
> The total incident power of the AM1.5CDS ed.2 spectrum (summing the data in the second column) is 900.17492878 W/m2
> In this table, the spectrum is normalised to 1 sun incident power (1000 W/m2)
> by multiplying the second column with 1000/900.17492878
>
>lambda (nm)	P(W/m2)
700.0	1.292638E+00
701.0	1.276307E+00
702.0	1.277529E+00
703.0	1.284972E+00
704.0	1.317966E+00
705.0	1.331852E+00
706.0	1.324743E+00
707.0	1.319188E+00
708.0	1.315189E+00
709.0	1.319743E+00
710.0	1.327964E+00
711.0	1.325742E+00
712.0	1.317077E+00
713.0	1.301858E+00
714.0	1.313411E+00
715.0	1.269531E+00
716.0	1.282862E+00
717.0	1.119893E+00
718.0	1.042831E+00
719.0	9.361958E-01
720.0	9.991391E-01
721.0	1.099420E+00
722.0	1.253201E+00
723.0	1.157886E+00
724.0	1.069848E+00
725.0	1.052473E+00
726.0	1.095765E+00
727.0	1.099653E+00
728.0	1.054995E+00
729.0	1.060938E+00
730.0	1.143556E+00
731.0	1.085367E+00
732.0	1.168662E+00
733.0	1.210987E+00
734.0	1.250979E+00
735.0	1.233205E+00
736.0	1.221318E+00
737.0	1.219541E+00
738.0	1.242425E+00
739.0	1.205877E+00
740.0	1.235204E+00
741.0	1.230650E+00
742.0	1.231316E+00
743.0	1.257089E+00
744.0	1.267309E+00
745.0	1.266865E+00
746.0	1.264310E+00
747.0	1.265199E+00
748.0	1.257867E+00
749.0	1.253756E+00
750.0	1.252312E+00
751.0	1.246869E+00
752.0	1.251423E+00
753.0	1.245314E+00
754.0	1.261199E+00
755.0	1.257644E+00
756.0	1.242536E+00
757.0	1.241536E+00
758.0	1.249313E+00
759.0	1.214431E+00
760.0	2.745689E-01
761.0	1.591691E-01
762.0	7.053185E-01
763.0	3.912240E-01
764.0	5.541701E-01
765.0	7.040520E-01
766.0	8.340601E-01
767.0	9.950733E-01
768.0	1.135557E+00
769.0	1.149443E+00
770.0	1.182659E+00
771.0	1.190435E+00
772.0	1.199989E+00
773.0	1.199434E+00
