> Air Mass 1.5 spectrum "Global Tilt" "edition 2", normalised to 1 sun (1000 W/m2)
> Global tilt = spectral radiation from solar disk plus sky diffuse and diffuse reflected from ground on south facing surface tilted 37 deg from horizontal
> Source: "ASTM G173-03 Reference Spectra 
Derived from SMARTS v. 2.9.2 (AM1.5)"							
> (NREL website, april 2009)
> Adaption to SCAPS format: MB 17-5-2009
> The first column is wavelength in nm
> The value in the second column is the incident power, in W/m2, in a wavelength range from half-away the preceeding lambda-interval, to half-away the next lambda-interval
> (we have artificially added one line before the table: 279 nm, 0 W/m2/nm
>   and one line after the table: 4010 nm, 0 W/m2/nm)
> The total incident power of the AM1.5G ed.2 spectrum (summing the data in the second column) is 1000.40617707 W/m2
> Tn this table, the spectrum is normalised to 1 sun incident power (1000 W/m2)
> by multiplying the second column with 1000/1000.40617707
>
>lambda (nm)	P(W/m2)
681.0	1.390935E+00
682.0	1.397532E+00
683.0	1.382438E+00
684.0	1.373342E+00
685.0	1.374242E+00
686.0	1.343254E+00
687.0	9.678469E-01
688.0	1.120145E+00
689.0	1.127342E+00
690.0	1.181620E+00
691.0	1.232799E+00
692.0	1.268385E+00
693.0	1.260388E+00
694.0	1.245894E+00
695.0	1.270884E+00
696.0	1.267885E+00
697.0	1.339756E+00
698.0	1.318664E+00
699.0	1.291276E+00
700.0	1.281779E+00
701.0	1.265386E+00
702.0	1.266885E+00
703.0	1.274182E+00
704.0	1.307269E+00
705.0	1.320863E+00
706.0	1.313866E+00
707.0	1.308469E+00
708.0	1.304270E+00
709.0	1.308968E+00
710.0	1.316965E+00
711.0	1.314966E+00
712.0	1.306569E+00
713.0	1.291276E+00
714.0	1.302371E+00
715.0	1.258189E+00
716.0	1.271084E+00
717.0	1.106651E+00
718.0	1.029182E+00
719.0	9.228052E-01
720.0	9.850999E-01
721.0	1.085659E+00
722.0	1.240196E+00
723.0	1.143935E+00
724.0	1.055071E+00
725.0	1.037579E+00
726.0	1.080861E+00
727.0	1.084559E+00
728.0	1.039578E+00
729.0	1.046175E+00
730.0	1.128042E+00
731.0	1.069865E+00
732.0	1.152932E+00
733.0	1.195714E+00
734.0	1.235198E+00
735.0	1.217306E+00
736.0	1.205410E+00
737.0	1.203411E+00
738.0	1.226402E+00
739.0	1.190017E+00
740.0	1.219005E+00
741.0	1.214307E+00
742.0	1.214807E+00
743.0	1.239996E+00
744.0	1.249792E+00
745.0	1.249193E+00
746.0	1.246494E+00
747.0	1.247193E+00
748.0	1.239597E+00
749.0	1.235198E+00
750.0	1.233599E+00
751.0	1.228101E+00
752.0	1.232499E+00
753.0	1.226102E+00
754.0	1.241496E+00
755.0	1.237797E+00
756.0	1.222703E+00
757.0	1.221604E+00
758.0	1.229001E+00
759.0	1.194015E+00
760.0	2.659320E-01
761.0	1.538975E-01
762.0	6.873808E-01
763.0	3.793659E-01
764.0	5.385612E-01
765.0	6.857315E-01
766.0	8.142793E-01
767.0	9.737745E-01
768.0	1.113348E+00
769.0	1.127342E+00
770.0	1.160329E+00
771.0	1.168126E+00
772.0	1.177322E+00
773.0	1.176622E+00
774.0	1.176622E+00
775.0	1.176622E+00
776.0	1.179321E+00
777.0	1.172224E+00
778.0	1.170824E+00
779.0	1.176022E+00
780.0	1.163128E+00
781.0	1.160229E+00
782.0	1.165727E+00
783.0	1.160928E+00
784.0	1.153132E+00
785.0	1.158130E+00
786.0	1.158729E+00
787.0	1.144535E+00
788.0	1.130041E+00
789.0	1.125243E+00
790.0	1.090557E+00
791.0	1.105351E+00
792.0	1.094855E+00
793.0	1.087058E+00
794.0	1.096755E+00
795.0	1.092756E+00
796.0	1.073764E+00
797.0	1.090857E+00
798.0	1.111648E+00
799.0	1.090057E+00
800.0	1.072065E+00
801.0	1.083860E+00
802.0	1.085159E+00
803.0	1.065267E+00
804.0	1.077762E+00
805.0	1.054072E+00
806.0	1.096954E+00
807.0	1.085459E+00
808.0	1.081661E+00
809.0	1.054372E+00
810.0	1.055471E+00
811.0	1.052872E+00
812.0	1.026383E+00
813.0	1.008190E+00
814.0	9.031931E-01
815.0	8.948665E-01
816.0	8.318221E-01
817.0	8.514841E-01
818.0	8.222560E-01
819.0	9.048225E-01
820.0	8.615301E-01
821.0	9.972349E-01
822.0	9.511837E-01
823.0	6.724369E-01
824.0	9.346804E-01
825.0	9.689564E-01
826.0	9.334309E-01
827.0	9.842502E-01
828.0	8.494450E-01
829.0	9.289227E-01
830.0	9.156381E-01
831.0	9.235449E-01
832.0	8.938969E-01
833.0	9.561116E-01
834.0	9.337407E-01
835.0	1.002793E+00
836.0	9.719452E-01
837.0	1.008790E+00
838.0	9.986044E-01
839.0	1.000893E+00
840.0	1.015288E+00
841.0	1.009690E+00
842.0	9.966252E-01
843.0	1.004892E+00
844.0	9.859095E-01
845.0	1.016087E+00
846.0	1.018286E+00
847.0	9.912974E-01
848.0	9.917672E-01
849.0	9.855597E-01
850.0	8.933571E-01
851.0	9.745342E-01
852.0	9.688765E-01
853.0	9.644683E-01
854.0	8.507744E-01
855.0	9.126293E-01
856.0	9.727749E-01
857.0	9.912574E-01
858.0	9.915573E-01
859.0	9.913074E-01
860.0	9.877588E-01
861.0	9.863894E-01
862.0	9.940862E-01
863.0	1.000094E+00
864.0	9.787624E-01
865.0	9.628489E-01
866.0	8.486553E-01
867.0	9.150883E-01
868.0	9.588106E-01
869.0	9.491745E-01
870.0	9.671572E-01
871.0	9.534827E-01
872.0	9.664674E-01
873.0	9.568214E-01
874.0	9.400382E-01
875.0	9.264937E-01
876.0	9.523832E-01
877.0	9.557618E-01
878.0	9.519833E-01
879.0	9.361797E-01
880.0	9.391885E-01
881.0	9.082411E-01
882.0	9.320714E-01
883.0	9.288927E-01
884.0	9.326712E-01
885.0	9.438466E-01
886.0	9.071515E-01
887.0	9.102503E-01
888.0	9.219055E-01
889.0	9.341706E-01
890.0	9.235549E-01
891.0	9.254641E-01
892.0	9.084410E-01
893.0	8.729154E-01
894.0	8.509544E-01
895.0	8.132397E-01
896.0	7.622204E-01
897.0	6.653897E-01
898.0	7.175086E-01
899.0	5.484872E-01
900.0	7.422985E-01
901.0	5.990867E-01
902.0	6.676388E-01
903.0	6.886103E-01
904.0	8.442271E-01
905.0	8.167583E-01
906.0	7.752651E-01
907.0	6.382807E-01
908.0	6.519052E-01
909.0	7.040240E-01
910.0	6.244164E-01
911.0	6.678088E-01
912.0	6.886503E-01
913.0	6.280849E-01
914.0	6.262356E-01
915.0	6.780846E-01
916.0	5.762260E-01
917.0	7.298735E-01
918.0	5.924694E-01
919.0	7.384701E-01
920.0	7.438379E-01
921.0	7.801731E-01
922.0	6.999757E-01
923.0	7.447375E-01
924.0	7.212071E-01
925.0	7.108113E-01
926.0	7.030244E-01
927.0	7.871003E-01
928.0	5.894406E-01
929.0	5.510462E-01
930.0	4.319246E-01
931.0	4.090439E-01
932.0	3.007378E-01
933.0	2.483091E-01
934.0	1.437416E-01
935.0	2.507382E-01
936.0	1.613545E-01
937.0	1.633137E-01
938.0	2.004986E-01
939.0	3.987081E-01
940.0	4.716184E-01
941.0	3.717990E-01
942.0	4.051554E-01
943.0	2.782270E-01
944.0	2.856740E-01
945.0	3.680605E-01
946.0	1.945310E-01
947.0	3.709693E-01
948.0	2.741187E-01
949.0	4.937594E-01
950.0	1.472002E-01
951.0	4.835836E-01
952.0	2.688008E-01
953.0	3.434805E-01
954.0	4.239378E-01
955.0	3.410315E-01
956.0	3.280767E-01
957.0	2.705601E-01
958.0	4.608228E-01
959.0	3.736982E-01
960.0	4.204892E-01
961.0	4.610127E-01
962.0	4.415606E-01
963.0	5.048250E-01
964.0	4.584138E-01
965.0	5.035355E-01
966.0	5.025459E-01
967.0	5.021960E-01
968.0	6.518352E-01
969.0	6.859414E-01
970.0	6.343523E-01
971.0	7.136801E-01
972.0	6.873708E-01
973.0	6.062338E-01
974.0	5.750564E-01
975.0	5.896305E-01
976.0	5.716778E-01
977.0	6.383807E-01
978.0	6.148403E-01
979.0	6.378909E-01
980.0	6.044345E-01
981.0	7.130904E-01
982.0	6.918990E-01
983.0	6.683785E-01
984.0	7.370206E-01
985.0	6.878906E-01
986.0	7.505252E-01
987.0	7.389798E-01
